"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"France","2019","Total","Male","81","Data tabulated by year of occurrence","Final figure, complete","2021","8022",""
"France","2019","Total","Male","82","Data tabulated by year of occurrence","Final figure, complete","2021","8350",""
"France","2019","Total","Male","83","Data tabulated by year of occurrence","Final figure, complete","2021","8873",""
"France","2019","Total","Male","84","Data tabulated by year of occurrence","Final figure, complete","2021","9580",""
"France","2019","Total","Male","85","Data tabulated by year of occurrence","Final figure, complete","2021","9865",""
"France","2019","Total","Male","85 - 89","Data tabulated by year of occurrence","Final figure, complete","2021","50608",""
"France","2019","Total","Male","86","Data tabulated by year of occurrence","Final figure, complete","2021","10212",""
"France","2019","Total","Male","87","Data tabulated by year of occurrence","Final figure, complete","2021","10436",""
"France","2019","Total","Male","88","Data tabulated by year of occurrence","Final figure, complete","2021","10358",""
"France","2019","Total","Male","89","Data tabulated by year of occurrence","Final figure, complete","2021","9737",""
"France","2019","Total","Male","90","Data tabulated by year of occurrence","Final figure, complete","2021","9040",""
"France","2019","Total","Male","90 - 94","Data tabulated by year of occurrence","Final figure, complete","2021","36760",""
"France","2019","Total","Male","91","Data tabulated by year of occurrence","Final figure, complete","2021","8409",""
"France","2019","Total","Male","92","Data tabulated by year of occurrence","Final figure, complete","2021","7469",""
"France","2019","Total","Male","93","Data tabulated by year of occurrence","Final figure, complete","2021","6423",""
"France","2019","Total","Male","94","Data tabulated by year of occurrence","Final figure, complete","2021","5419",""
"France","2019","Total","Male","95","Data tabulated by year of occurrence","Final figure, complete","2021","4273",""
"France","2019","Total","Male","95 - 99","Data tabulated by year of occurrence","Final figure, complete","2021","13391",""
"France","2019","Total","Male","96","Data tabulated by year of occurrence","Final figure, complete","2021","3367",""
"France","2019","Total","Male","97","Data tabulated by year of occurrence","Final figure, complete","2021","2693",""
"France","2019","Total","Male","98","Data tabulated by year of occurrence","Final figure, complete","2021","1859",""
"France","2019","Total","Male","99","Data tabulated by year of occurrence","Final figure, complete","2021","1199",""
"France","2019","Total","Male","100","Data tabulated by year of occurrence","Final figure, complete","2021","464",""
"France","2019","Total","Male","100 - 104","Data tabulated by year of occurrence","Final figure, complete","2021","1064",""
"France","2019","Total","Male","100 +","Data tabulated by year of occurrence","Final figure, complete","2021","1162",""
"France","2019","Total","Male","101","Data tabulated by year of occurrence","Final figure, complete","2021","262",""
"France","2019","Total","Male","102","Data tabulated by year of occurrence","Final figure, complete","2021","175",""
"France","2019","Total","Male","103","Data tabulated by year of occurrence","Final figure, complete","2021","87",""
"France","2019","Total","Male","104","Data tabulated by year of occurrence","Final figure, complete","2021","76",""
"France","2019","Total","Male","105","Data tabulated by year of occurrence","Final figure, complete","2021","53",""
"France","2019","Total","Male","105 - 109","Data tabulated by year of occurrence","Final figure, complete","2021","97",""
"France","2019","Total","Male","106","Data tabulated by year of occurrence","Final figure, complete","2021","25",""
"France","2019","Total","Male","107","Data tabulated by year of occurrence","Final figure, complete","2021","16",""
"France","2019","Total","Male","108","Data tabulated by year of occurrence","Final figure, complete","2021","3",""
"France","2019","Total","Male","109","Data tabulated by year of occurrence","Final figure, complete","2021","0",""
"France","2019","Total","Male","110 +","Data tabulated by year of occurrence","Final figure, complete","2021","1",""
"France","2019","Total","Female","Total","Data tabulated by year of occurrence","Final figure, complete","2021","301932",""
"France","2019","Total","Female","0","Data tabulated by year of occurrence","Final figure, complete","2021","1099",""
"France","2019","Total","Female","1","Data tabulated by year of occurrence","Final figure, complete","2021","73",""
"France","2019","Total","Female","1 - 4","Data tabulated by year of occurrence","Final figure, complete","2021","188",""
"France","2019","Total","Female","2","Data tabulated by year of occurrence","Final figure, complete","2021","54",""
"France","2019","Total","Female","3","Data tabulated by year of occurrence","Final figure, complete","2021","33",""
"France","2019","Total","Female","4","Data tabulated by year of occurrence","Final figure, complete","2021","28",""
"France","2019","Total","Female","5","Data tabulated by year of occurrence","Final figure, complete","2021","30",""
"France","2019","Total","Female","5 - 9","Data tabulated by year of occurrence","Final figure, complete","2021","126",""
"France","2019","Total","Female","6","Data tabulated by year of occurrence","Final figure, complete","2021","29",""
"France","2019","Total","Female","7","Data tabulated by year of occurrence","Final figure, complete","2021","18",""
"France","2019","Total","Female","8","Data tabulated by year of occurrence","Final figure, complete","2021","16",""
"France","2019","Total","Female","9","Data tabulated by year of occurrence","Final figure, complete","2021","33",""
"France","2019","Total","Female","10","Data tabulated by year of occurrence","Final figure, complete","2021","16",""
"France","2019","Total","Female","10 - 14","Data tabulated by year of occurrence","Final figure, complete","2021","134",""
"France","2019","Total","Female","11","Data tabulated by year of occurrence","Final figure, complete","2021","18",""
"France","2019","Total","Female","12","Data tabulated by year of occurrence","Final figure, complete","2021","27",""
"France","2019","Total","Female","13","Data tabulated by year of occurrence","Final figure, complete","2021","42",""
"France","2019","Total","Female","14","Data tabulated by year of occurrence","Final figure, complete","2021","31",""
"France","2019","Total","Female","15","Data tabulated by year of occurrence","Final figure, complete","2021","50",""
"France","2019","Total","Female","15 - 19","Data tabulated by year of occurrence","Final figure, complete","2021","291",""
"France","2019","Total","Female","16","Data tabulated by year of occurrence","Final figure, complete","2021","52",""
"France","2019","Total","Female","17","Data tabulated by year of occurrence","Final figure, complete","2021","54",""
"France","2019","Total","Female","18","Data tabulated by year of occurrence","Final figure, complete","2021","87",""
"France","2019","Total","Female","19","Data tabulated by year of occurrence","Final figure, complete","2021","48",""
"France","2019","Total","Female","20","Data tabulated by year of occurrence","Final figure, complete","2021","67",""
"France","2019","Total","Female","20 - 24","Data tabulated by year of occurrence","Final figure, complete","2021","357",""
"France","2019","Total","Female","21","Data tabulated by year of occurrence","Final figure, complete","2021","73",""
